"Name","dummy","transformer_model","test_score"
"floral-sweep-35","","bert-base-uncased","0.4527395065684075"
"brisk-sweep-34","","bert-base-uncased","0"
"devoted-sweep-33","","bert-base-uncased","0.26456692913385826"
"balmy-sweep-32","","bert-base-uncased","0.5314269798533098"
"stellar-sweep-31","","bert-base-uncased","0.4171597633136095"
"comfy-sweep-30","","bert-base-uncased","0.4903650321165596"
"deft-sweep-29","","bert-base-uncased","0.6264176686279526"
"still-sweep-28","","bert-base-uncased","0.5243881567687831"
"trim-sweep-27","","bert-base-uncased","0.4587898196527895"
"genial-sweep-26","","bert-base-uncased","0.425531914893617"
"ruby-sweep-25","","bert-base-uncased","0.45993236288781064"
"dulcet-sweep-24","","bert-base-uncased","0.4077587427438765"
"earthy-sweep-23","","bert-base-uncased","0.433591967138293"
"sandy-sweep-22","","bert-base-uncased","0.488468361916026"
"sparkling-sweep-21","","bert-base-uncased","0.3793677204658902"
"wise-sweep-20","","bert-base-uncased","0.6198095612054579"
"eager-sweep-19","","bert-base-uncased","0.21567217828900073"
"eager-sweep-18","","bert-base-uncased","0.44299093206481344"
"good-sweep-16","","bert-base-uncased","0.4762051440012321"
"helpful-sweep-15","","bert-base-uncased","0.4086727989487517"
"still-sweep-14","","bert-base-uncased","0.4693240901213171"
"driven-sweep-13","","bert-base-uncased","0.4915435285739719"
"rich-sweep-12","","bert-base-uncased","0.44156685011330526"
"youthful-sweep-11","","bert-base-uncased","0.22344523940561364"
"lively-sweep-10","","bert-base-uncased","0.5635059482155353"
"young-sweep-9","","bert-base-uncased","0.3900298402668071"
"graceful-sweep-8","","bert-base-uncased","0.45276292335115864"
"worthy-sweep-7","","bert-base-uncased","0.24364820846905536"
"rosy-sweep-6","","bert-base-uncased","0.44544364508393286"
"autumn-sweep-5","","bert-base-uncased","0.2170929507174049"
"graceful-sweep-4","","bert-base-uncased","0.4425770308123249"
"fluent-sweep-3","","bert-base-uncased",""
"wise-sweep-2","","bert-base-uncased","0.6143814526353921"
"fanciful-sweep-1","","bert-base-uncased","0.3297832585949178"
"absurd-terrain-537","","bert-base-uncased","0.10128495842781556"
"sandy-donkey-536","","bert-base-uncased",""
"dauntless-deluge-535","","bert-base-uncased",""
"feasible-elevator-534","","bert-base-uncased",""
